m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_initialized,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_number_of_users,m0_margin_ratio_initial,m0_margin_ratio_partial,m0_margin_ratio_maintenance,m0_next_fill_record_id,m0_next_funding_rate_record_id,m0_next_curve_record_id,m0_unsettled_profit,m0_unsettled_loss,m0_padding0,m0_padding1,m0_padding2,m0_padding3,m0_padding4,m0_base_asset_amount,m0_oracle_source,m0_last_oracle_price,m0_last_oracle_conf_pct,m0_last_oracle_delay,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_oracle_mark_spread_pct,m0_base_asset_reserve,m0_quote_asset_reserve,m0_sqrt_k,m0_peg_multiplier,m0_terminal_quote_asset_reserve,m0_base_asset_amount_with_amm,m0_base_asset_amount_with_unsettled_lp,m0_quote_asset_amount_long,m0_quote_asset_amount_short,m0_cumulative_funding_payment_per_lp,m0_cumulative_fee_per_lp,m0_cumulative_base_asset_amount_with_amm_per_lp,m0_lp_cooldown_time,m0_user_lp_shares,m0_last_funding_rate,m0_last_funding_rate_ts,m0_funding_period,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_cumulative_repeg_rebate_long,m0_cumulative_repeg_rebate_short,m0_mark_std,m0_last_mark_price_twap,m0_last_mark_price_twap_ts,m0_minimum_quote_asset_trade_size,m0_base_asset_amount_step_size,m0_base_spread,m0_long_spread,m0_short_spread,m0_max_spread,m0_ask_base_asset_reserve,m0_ask_quote_asset_reserve,m0_bid_base_asset_reserve,m0_bid_quote_asset_reserve,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_long_intensity_count,m0_long_intensity_volume,m0_short_intensity_count,m0_short_intensity_volume,m0_curve_update_intensity,m0_total_fee,m0_total_mm_fee,m0_total_exchange_fee,m0_total_fee_minus_distributions,m0_total_fee_withdrawn,m0_net_revenue_since_last_funding,m0_fee_pool,m0_last_update_slot,m0_strategies,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_lp_shares,m0_amm_lp_shares,liquidator0_collateral,liquidator0_free_collateral,liquidator0_margin_ratio,liquidator0_total_position_value,liquidator0_total_fee_paid,liquidator0_total_fee_rebate,liquidator0_open_orders,liquidator0_cumulative_deposits,liquidator0_total_collateral,timestamp,borrower1_collateral,borrower1_free_collateral,borrower1_margin_ratio,borrower1_total_position_value,borrower1_total_fee_paid,borrower1_total_fee_rebate,borrower1_open_orders,borrower1_cumulative_deposits,borrower1_total_collateral
3.766093,3.766093825568376,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,100000000000.0,100000000000.0,,0,0,0,0,100000000000.0,100000000000.0,0,,,,,,,,,
3.766093,3.766093825568376,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,100000000000.0,100000000000.0,,0,0,0,0,100000000000.0,100000000000.0,0,,,,,,,,,
3.766093,4.579234451755099,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,100000000000.0,100000000000.0,,0,0,0,0,100000000000.0,100000000000.0,2,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,100000000000.0,100000000000.0,,0,0,0,0,100000000000.0,100000000000.0,3,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,170000000000.0,170000000000.0,,0,0,0,0,170000000000.0,170000000000.0,3,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,170000000000.0,170000000000.0,,0,0,0,0,170000000000.0,170000000000.0,3,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,170000000000.0,170000000000.0,,0,0,0,0,170000000000.0,170000000000.0,3,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,170000000000.0,170000000000.0,,0,0,0,0,170000000000.0,170000000000.0,4,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,170000000000.0,170000000000.0,,0,0,0,0,170000000000.0,170000000000.0,5,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
3.766093,3.872570193191052,3.766093,3.766093,3766.093,0.0,-9.133782619796556e-11,-9.133782619796556e-11,3.766093,0.0,0,True,0,0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,3.766093825568376,0,0,3.766093825568376,3.766093825568376,0,0,367621000000000,367621000000000,367621000000000,3766093,367621000000000,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,3.766093,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,3.766093,3.766093,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,3.766093,3.766093,367621000000000,367621000000000,170000000000.0,170000000000.0,,0,0,0,0,170000000000.0,170000000000.0,6,100000000000.0,100000000000.0,,0.0,0.0,0.0,0.0,100000000000.0,100000000000.0
